Sample,REC31812,REC31828,40592-V08H,40021-V08H,40600-V08H,40601-V08H,40607-V08H
COVID-305,3809,9055,1248,11851,6799.5,25735,27764
COVID-318,2442.5,857.5,903,2560.5,3856,14253.5,9912
COVID-329,1765,1093,2018,6625,6914,13090,24570.5
COVID-340,2073,1781,472.5,9327,1680,3660,5391.5
COVID-478,2359,1092,1305,8684,1496,6474,12109
COVID-489,4653.5,6364,937,14904,12708,23890,37034.5
COVID-500,3280,1823,1318.5,10931,3431.5,11120,23913
COVID-511,2711,9935,1948,22068,10270,16502,33252.5
COVID-306,10450,1545,956.5,6513,2161,12346.5,10488.5
COVID-319,8407,4061,930,4004.5,5541,9886.5,12221
COVID-330,8757.5,1334.5,3669,16823,8143,16773,23429
COVID-341,2179.5,1284,2361,11616.5,2226.5,10231.5,13142
COVID-479,2024,1005,1427,12415.5,2692.5,18159.5,12258
COVID-490,10835,723,1286,15172.5,5783,17318,9725
COVID-501,3199,2320,1444,4011,1824,2562,20788.5
COVID-512,1703,2486,2179,3306,10597,12940.5,14263
COVID-307,5021,1464,4450,5292.5,5051,7032,17572
COVID-320,3669,1686,1174.5,13027,11595,25320,16360
COVID-331,4363,1664.5,1530,4204,1639,7272.5,21653
COVID-342,4733,1492,1639,15730,5394,11975,19347
COVID-480,2059,33483,1966,10455,9319.5,15641.5,35892.5
COVID-491,3062.5,4751,3082.5,13607,2432,23268,14435.5
COVID-502,4955,1179,1749,11455.5,10966,24397,23314
COVID-513,992,597.5,900,4634,556.5,2021,1551.5
COVID-309,2814.5,894,1684,5091.5,3931,10167,9357.5
COVID-321,5740.5,1722,2996,5885,6177.5,8392,22910.5
COVID-332,2889,4724,8972,14196,6667,7913,18528.5
COVID-343,6853.5,2456,3112.5,17872,5151.5,8567.5,24813
COVID-481,1104.5,9765,2095,4098,3070.5,6035.5,20662
COVID-492,3134,4984,1051,8584,1839.5,8505,12815
COVID-503,9341,1454,3388,5823,1638,5386,12230
COVID-514,745.5,398,387,4554.5,1035.5,3561.5,6697.5
COVID-311,1463,1052,1078,4998,4118.5,16007.5,9669
COVID-322,2785.5,1527,1210,19716,4382,18113.5,23360
COVID-333,3563.5,2120.5,3696,8379.5,6503.5,16180.5,13823
COVID-344,1395,947.5,601.5,2026,6448,8183,16757
COVID-482,3102,8584,1173,9327,4617,9062.5,18817
COVID-493,2223,1655,973.5,1178,1644,1676,6414
COVID-504,1719,3428,725,6146,2067,5170,16844
COVID-515,1583,800,808,8048.5,2121,3419,18943.5
COVID-312,6861,1803.5,2266.5,5504,5374,17802,16770
COVID-323,7685,1116,2893.5,12945.5,8610,10558.5,15823.5
COVID-334,4723.5,6870,8034,12283,3794.5,15297.5,19855
